epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,336.662,0.36307,0.38605,0.83529,0.93118,0.92807,0.92908,0.86523,0.35458,0.33391,0.82961,0.0033003,0.0033003,0.0033003
125,339.301,0.35858,0.38486,0.83143,0.93505,0.92453,0.93493,0.87292,0.33665,0.32954,0.82799,0.00322778,0.00322778,0.00322778
126,341.977,0.3664,0.38648,0.83646,0.93497,0.92453,0.93324,0.8691,0.34083,0.33147,0.82649,0.00315572,0.00315572,0.00315572
127,344.641,0.35486,0.37774,0.83021,0.93675,0.92568,0.93273,0.8708,0.36729,0.33574,0.82898,0.00308412,0.00308412,0.00308412
128,347.297,0.36262,0.38464,0.82827,0.93672,0.92689,0.93564,0.86289,0.38167,0.34263,0.83219,0.003013,0.003013,0.003013
129,349.958,0.36878,0.3912,0.83754,0.93561,0.92807,0.93485,0.8746,0.34347,0.33411,0.82855,0.00294239,0.00294239,0.00294239
130,352.621,0.36471,0.39177,0.83424,0.93629,0.92807,0.93694,0.88604,0.31902,0.32573,0.82633,0.0028723,0.0028723,0.0028723
131,355.29,0.35562,0.37001,0.83067,0.93653,0.92807,0.93915,0.87729,0.34698,0.32918,0.82816,0.00280275,0.00280275,0.00280275
132,358.029,0.35743,0.37564,0.83512,0.93262,0.93041,0.94321,0.88437,0.34023,0.32633,0.82971,0.00273375,0.00273375,0.00273375
133,360.69,0.36407,0.38015,0.83347,0.93138,0.9316,0.9444,0.88124,0.34532,0.32812,0.83149,0.00266532,0.00266532,0.00266532
134,363.949,0.3484,0.36675,0.82527,0.93477,0.92571,0.94039,0.88158,0.34665,0.33493,0.8301,0.00259748,0.00259748,0.00259748
135,366.681,0.35348,0.37562,0.83517,0.9366,0.92689,0.94353,0.8869,0.32364,0.32479,0.8251,0.00253024,0.00253024,0.00253024
136,369.364,0.35684,0.38457,0.83016,0.93473,0.92807,0.94523,0.88659,0.33783,0.33096,0.82823,0.00246363,0.00246363,0.00246363
137,372.005,0.3643,0.37285,0.83018,0.93681,0.92661,0.94286,0.87819,0.34185,0.32749,0.83024,0.00239766,0.00239766,0.00239766
138,374.661,0.35335,0.37757,0.8309,0.93441,0.92807,0.9388,0.87184,0.35388,0.33092,0.83094,0.00233234,0.00233234,0.00233234
139,377.319,0.35167,0.3845,0.82819,0.92949,0.93266,0.9421,0.8728,0.35405,0.33741,0.83043,0.00226769,0.00226769,0.00226769
140,379.969,0.34592,0.37618,0.82877,0.93635,0.92807,0.94331,0.87842,0.34757,0.33334,0.8289,0.00220372,0.00220372,0.00220372
141,382.617,0.35477,0.37994,0.83179,0.93696,0.929,0.93461,0.87711,0.33353,0.32888,0.82866,0.00214046,0.00214046,0.00214046
142,385.287,0.35005,0.3834,0.82522,0.93049,0.93133,0.9337,0.87408,0.33553,0.32734,0.82881,0.00207792,0.00207792,0.00207792
143,387.942,0.36865,0.38699,0.83554,0.93157,0.93115,0.93498,0.87509,0.34333,0.32646,0.82921,0.00201611,0.00201611,0.00201611
144,390.599,0.3517,0.37891,0.82846,0.93681,0.92655,0.93068,0.8774,0.32863,0.32409,0.82958,0.00195505,0.00195505,0.00195505
145,393.566,0.34421,0.37287,0.83084,0.93261,0.93021,0.93642,0.87317,0.34034,0.3259,0.82787,0.00189475,0.00189475,0.00189475
146,396.386,0.34944,0.37828,0.82786,0.9327,0.93148,0.93886,0.87581,0.338,0.32506,0.82722,0.00183523,0.00183523,0.00183523
147,399.045,0.34148,0.3644,0.81978,0.93609,0.92571,0.94141,0.8791,0.33653,0.32363,0.8266,0.00177651,0.00177651,0.00177651
148,401.699,0.34059,0.36844,0.82332,0.93585,0.92571,0.94405,0.87887,0.35151,0.32812,0.82702,0.00171859,0.00171859,0.00171859
149,404.339,0.34596,0.36782,0.82993,0.93242,0.93042,0.94019,0.88201,0.32689,0.31886,0.82475,0.00166149,0.00166149,0.00166149
150,407.008,0.33854,0.35228,0.8238,0.93577,0.92453,0.93909,0.8753,0.34483,0.32204,0.8242,0.00160523,0.00160523,0.00160523
151,409.674,0.34245,0.37303,0.83123,0.93164,0.92689,0.93539,0.87949,0.3267,0.32248,0.82467,0.00154982,0.00154982,0.00154982
152,412.338,0.33214,0.35813,0.82503,0.92853,0.92925,0.93838,0.88197,0.32393,0.31752,0.8244,0.00149527,0.00149527,0.00149527
153,414.991,0.34248,0.37736,0.82674,0.93018,0.92807,0.93961,0.88154,0.34095,0.32613,0.82475,0.00144161,0.00144161,0.00144161
154,417.67,0.34617,0.37329,0.8306,0.92996,0.92925,0.94012,0.88525,0.31769,0.31876,0.82278,0.00138883,0.00138883,0.00138883
155,420.321,0.33722,0.37036,0.82472,0.93548,0.92571,0.93839,0.87365,0.34799,0.3291,0.8271,0.00133695,0.00133695,0.00133695
156,422.97,0.33702,0.36342,0.82554,0.93567,0.92807,0.93778,0.87671,0.33805,0.32318,0.82422,0.00128599,0.00128599,0.00128599
157,425.642,0.34569,0.37714,0.83019,0.93567,0.92623,0.9374,0.88599,0.31425,0.31815,0.82211,0.00123596,0.00123596,0.00123596
158,428.317,0.34425,0.37021,0.8316,0.9357,0.92666,0.93998,0.87405,0.3467,0.32291,0.82631,0.00118687,0.00118687,0.00118687
159,431.054,0.3369,0.3718,0.82752,0.9355,0.92689,0.93822,0.88676,0.31206,0.3166,0.82397,0.00113873,0.00113873,0.00113873
160,433.722,0.34357,0.36968,0.82679,0.93551,0.92335,0.93658,0.87607,0.3309,0.32246,0.82545,0.00109156,0.00109156,0.00109156
161,436.524,0.33733,0.36899,0.82849,0.92874,0.9316,0.94038,0.87998,0.32527,0.31603,0.82459,0.00104537,0.00104537,0.00104537
162,439.187,0.3421,0.36692,0.82712,0.93553,0.92412,0.94124,0.87736,0.33864,0.31878,0.82704,0.00100016,0.00100016,0.00100016
163,441.851,0.33733,0.35695,0.82776,0.93535,0.92453,0.94223,0.88287,0.32103,0.31187,0.82628,0.000955951,0.000955951,0.000955951
164,444.504,0.33422,0.35577,0.82553,0.93558,0.92476,0.9407,0.88248,0.32642,0.31128,0.82498,0.000912754,0.000912754,0.000912754
165,447.165,0.32532,0.34891,0.82178,0.93559,0.92499,0.94125,0.88294,0.3351,0.3158,0.82557,0.000870577,0.000870577,0.000870577
166,449.827,0.33241,0.36746,0.82619,0.93559,0.9249,0.94246,0.87301,0.34696,0.32071,0.82485,0.000829431,0.000829431,0.000829431
167,452.483,0.33563,0.37776,0.83207,0.93549,0.92453,0.94159,0.8822,0.32349,0.31949,0.82307,0.000789327,0.000789327,0.000789327
168,455.157,0.34136,0.37164,0.83127,0.93558,0.92478,0.94245,0.88127,0.34287,0.31816,0.82396,0.000750274,0.000750274,0.000750274
169,457.809,0.33721,0.35657,0.82835,0.93559,0.92491,0.94144,0.89029,0.3128,0.31101,0.82206,0.000712282,0.000712282,0.000712282
170,460.488,0.33994,0.3743,0.82629,0.9366,0.92335,0.94278,0.88522,0.33459,0.31777,0.82451,0.00067536,0.00067536,0.00067536
171,463.144,0.3377,0.36731,0.82771,0.93554,0.92453,0.94195,0.88697,0.32331,0.31548,0.82463,0.000639518,0.000639518,0.000639518
172,465.81,0.33883,0.36354,0.8295,0.93561,0.9253,0.93855,0.88324,0.31901,0.31211,0.82417,0.000604763,0.000604763,0.000604763
173,468.459,0.3236,0.35779,0.82584,0.93567,0.92626,0.93536,0.87886,0.32905,0.31327,0.82451,0.000571106,0.000571106,0.000571106
174,471.132,0.33889,0.35107,0.82473,0.93553,0.92571,0.93805,0.88534,0.3173,0.30919,0.8241,0.000538554,0.000538554,0.000538554
175,473.872,0.32532,0.36209,0.82505,0.9355,0.92571,0.93937,0.87542,0.34265,0.31116,0.82589,0.000507115,0.000507115,0.000507115
176,476.538,0.32384,0.35448,0.82553,0.9354,0.92571,0.93766,0.8819,0.32425,0.31026,0.8239,0.000476796,0.000476796,0.000476796
177,479.19,0.32723,0.35719,0.82805,0.93547,0.92321,0.94068,0.88683,0.31425,0.31133,0.82207,0.000447606,0.000447606,0.000447606
178,481.842,0.33127,0.36792,0.82972,0.9364,0.92453,0.94038,0.88025,0.32571,0.31321,0.82226,0.000419552,0.000419552,0.000419552
179,484.5,0.31906,0.34423,0.82244,0.93672,0.92516,0.94222,0.88615,0.31855,0.30818,0.82209,0.00039264,0.00039264,0.00039264
180,487.719,0.32963,0.36569,0.82373,0.93672,0.92524,0.94263,0.88488,0.324,0.30888,0.82408,0.000366877,0.000366877,0.000366877
181,490.383,0.32421,0.34235,0.82515,0.93563,0.92571,0.94166,0.8834,0.33043,0.31124,0.82471,0.00034227,0.00034227,0.00034227
